name	layer	type
BASP1	transcriptomic	gene
HERC3	transcriptomic	gene
PER1	transcriptomic	gene
MECOM	transcriptomic	gene
CPM	transcriptomic	gene
CD53	transcriptomic	gene
CD79A	transcriptomic	gene
APOBEC2	transcriptomic	gene
HNRNPA3	transcriptomic	gene
ANKRD28	transcriptomic	gene
FN1	transcriptomic	gene
USP17L5	transcriptomic	gene
CTDNEP1	transcriptomic	gene
CHST15	transcriptomic	gene
JUN	transcriptomic	gene
PCF11	transcriptomic	gene
MAGI2	transcriptomic	gene
UCP2	transcriptomic	gene
RPRD1A	transcriptomic	gene
TGFBR3	transcriptomic	gene
EIF2AK3	transcriptomic	gene
KLHL20	transcriptomic	gene
ATRX	transcriptomic	gene
RAPGEF2	transcriptomic	gene
HAVCR1	transcriptomic	gene
TCERG1	transcriptomic	gene
HNRNPC	transcriptomic	gene
CTSG	transcriptomic	gene
RICTOR	transcriptomic	gene
SEC16B	transcriptomic	gene
GPT	transcriptomic	gene
HNRNPH1	transcriptomic	gene
NTNG1	transcriptomic	gene
COTL1	transcriptomic	gene
CXCR6	transcriptomic	gene
MCL1	transcriptomic	gene
LIN52	transcriptomic	gene
NET1	transcriptomic	gene
C1QA	transcriptomic	gene
ITGB6	transcriptomic	gene
USP24	transcriptomic	gene
C2	transcriptomic	gene
WIPI1	transcriptomic	gene
FZD1	transcriptomic	gene
FER	transcriptomic	gene
ACY3	transcriptomic	gene
DLG2	transcriptomic	gene
SLC38A2	transcriptomic	gene
LCP2	transcriptomic	gene
CSTA	transcriptomic	gene
ROCK2	transcriptomic	gene
KIAA1549	transcriptomic	gene
GPX8	transcriptomic	gene
CACNA1D	transcriptomic	gene
DNER	transcriptomic	gene
DNAJA4	transcriptomic	gene
TEC	transcriptomic	gene
SLC26A7	transcriptomic	gene
CCL21	transcriptomic	gene
SCN8A	transcriptomic	gene
TLR7	transcriptomic	gene
CXCL9	transcriptomic	gene
LRRFIP1	transcriptomic	gene
ID2	transcriptomic	gene
EFNB2	transcriptomic	gene
PLAUR	transcriptomic	gene
AQP7	transcriptomic	gene
CHD1L	transcriptomic	gene
TBC1D17	transcriptomic	gene
POU5F1	transcriptomic	gene
LRG1	transcriptomic	gene
IFNL2	transcriptomic	gene
FUT6	transcriptomic	gene
PCOLCE2	transcriptomic	gene
BIN2	transcriptomic	gene
OLR1	transcriptomic	gene
RIPK2	transcriptomic	gene
CD180	transcriptomic	gene
TRIM50	transcriptomic	gene
MIR98	transcriptomic	gene
SLC4A7	transcriptomic	gene
NDUFAF5	transcriptomic	gene
USP25	transcriptomic	gene
ITGAX	transcriptomic	gene
CWF19L2	transcriptomic	gene
DOCK4	transcriptomic	gene
RALGAPB	transcriptomic	gene
CYFIP2	transcriptomic	gene
LIN7A	transcriptomic	gene
RANBP2	transcriptomic	gene
ZNRF2	transcriptomic	gene
CCL11	transcriptomic	gene
GLUD1	transcriptomic	gene
FBXW7	transcriptomic	gene
NCKAP1L	transcriptomic	gene
MTARC1	transcriptomic	gene
APOH	transcriptomic	gene
MMP7	transcriptomic	gene
ABCC5	transcriptomic	gene
LAMC2	transcriptomic	gene
PARD3	transcriptomic	gene
CCL19	transcriptomic	gene
ATF3	transcriptomic	gene
ATP1B3	transcriptomic	gene
SLC25A10	transcriptomic	gene
SLC5A2	transcriptomic	gene
OR6T1	transcriptomic	gene
ZC3H18	transcriptomic	gene
HSPA6	transcriptomic	gene
LMO7	transcriptomic	gene
F11	transcriptomic	gene
KCNK5	transcriptomic	gene
MCOLN3	transcriptomic	gene
SGIP1	transcriptomic	gene
KNG1	transcriptomic	gene
TOP2A	transcriptomic	gene
GOLGA4	transcriptomic	gene
KMT2C	transcriptomic	gene
MGAT4A	transcriptomic	gene
GAD1	transcriptomic	gene
KIF27	transcriptomic	gene
LY96	transcriptomic	gene
CSGALNACT1	transcriptomic	gene
PCLO	transcriptomic	gene
TAS2R31	transcriptomic	gene
GSTT1	transcriptomic	gene
CHD6	transcriptomic	gene
ABO	transcriptomic	gene
DNAJC2	transcriptomic	gene
MIRLET7A1	transcriptomic	gene
HERC1	transcriptomic	gene
C1QC	transcriptomic	gene
COX6A2	transcriptomic	gene
SLC7A2	transcriptomic	gene
CD1C	transcriptomic	gene
BOD1L1	transcriptomic	gene
CXCL10	transcriptomic	gene
MOCS2	transcriptomic	gene
SDHA	transcriptomic	gene
HTRA1	transcriptomic	gene
KIF16B	transcriptomic	gene
HSPA1B	transcriptomic	gene
SLC26A4	transcriptomic	gene
PDK4	transcriptomic	gene
TNC	transcriptomic	gene
PTPN22	transcriptomic	gene
PTH2R	transcriptomic	gene
KDELR1	transcriptomic	gene
ARHGAP42	transcriptomic	gene
COL4A4	transcriptomic	gene
CD52	transcriptomic	gene
SLC34A1	transcriptomic	gene
ITGB3	transcriptomic	gene
CYBA	transcriptomic	gene
WDR70	transcriptomic	gene
CASC3	transcriptomic	gene
ZNF25	transcriptomic	gene
ZNF675	transcriptomic	gene
JCHAIN	transcriptomic	gene
CA1	transcriptomic	gene
LCN2	transcriptomic	gene
CALCB	transcriptomic	gene
RAB40A	transcriptomic	gene
HERC2	transcriptomic	gene
MAP3K5	transcriptomic	gene
PHIP	transcriptomic	gene
BAG3	transcriptomic	gene
SHC3	transcriptomic	gene
NR0B2	transcriptomic	gene
LDHA	transcriptomic	gene
PRODH2	transcriptomic	gene
CCNA2	transcriptomic	gene
KCNJ16	transcriptomic	gene
FCN1	transcriptomic	gene
FGA	transcriptomic	gene
CD99	transcriptomic	gene
WDR19	transcriptomic	gene
LRRTM2	transcriptomic	gene
CLEC4A	transcriptomic	gene
UNC13B	transcriptomic	gene
UGT1A1	transcriptomic	gene
USP2	transcriptomic	gene
HCST	transcriptomic	gene
LGR4	transcriptomic	gene
OR10AD1	transcriptomic	gene
BRAF	transcriptomic	gene
MAOA	transcriptomic	gene
WIF1	transcriptomic	gene
TNKS2	transcriptomic	gene
SMC5	transcriptomic	gene
OR7C2	transcriptomic	gene
NAALAD2	transcriptomic	gene
OR4F15	transcriptomic	gene
DGKG	transcriptomic	gene
KIT	transcriptomic	gene
ACKR4	transcriptomic	gene
F2RL2	transcriptomic	gene
GPR176	transcriptomic	gene
CRADD	transcriptomic	gene
CBLB	transcriptomic	gene
UQCR11	transcriptomic	gene
SOCS2	transcriptomic	gene
GBP2	transcriptomic	gene
ARAP2	transcriptomic	gene
PLEK	transcriptomic	gene
APOM	transcriptomic	gene
CCL5	transcriptomic	gene
FCER1G	transcriptomic	gene
RGS2	transcriptomic	gene
TRIM8	transcriptomic	gene
SYT10	transcriptomic	gene
VCPKMT	transcriptomic	gene
SLC12A6	transcriptomic	gene
ZNF189	transcriptomic	gene
RPS6KA5	transcriptomic	gene
IQCB1	transcriptomic	gene
APOBEC3C	transcriptomic	gene
MIRLET7C	transcriptomic	gene
MFAP4	transcriptomic	gene
HSPA4L	transcriptomic	gene
MT1E	transcriptomic	gene
IFT88	transcriptomic	gene
THSD7A	transcriptomic	gene
MT3	transcriptomic	gene
LILRB4	transcriptomic	gene
TPSAB1	transcriptomic	gene
FBXW5	transcriptomic	gene
TYROBP	transcriptomic	gene
TAS2R3	transcriptomic	gene
SLC5A8	transcriptomic	gene
TXNIP	transcriptomic	gene
JAK2	transcriptomic	gene
DHX35	transcriptomic	gene
SOS2	transcriptomic	gene
LONP2	transcriptomic	gene
RIC1	transcriptomic	gene
RND3	transcriptomic	gene
TGM1	transcriptomic	gene
PFKFB1	transcriptomic	gene
CACNA1E	transcriptomic	gene
GCLC	transcriptomic	gene
ANK3	transcriptomic	gene
RPS19	transcriptomic	gene
WNK3	transcriptomic	gene
MICU3	transcriptomic	gene
CACNA2D3	transcriptomic	gene
CCL22	transcriptomic	gene
UBE2N	transcriptomic	gene
RASA1	transcriptomic	gene
NOSTRIN	transcriptomic	gene
SRGN	transcriptomic	gene
AGBL3	transcriptomic	gene
TAS2R45	transcriptomic	gene
KLF15	transcriptomic	gene
TMPRSS2	transcriptomic	gene
USP43	transcriptomic	gene
RSPO3	transcriptomic	gene
