name	layer	type
GLMP	transcriptomic	gene
GLTP	transcriptomic	gene
GLTPD2	transcriptomic	gene
GLUD1	transcriptomic	gene
GLYCTK	transcriptomic	gene
GLYCTKAS1	transcriptomic	gene
GMDSDT	transcriptomic	gene
GMFG	transcriptomic	gene
GNA11	transcriptomic	gene
GNB3	transcriptomic	gene
GNG11	transcriptomic	gene
GNPTG	transcriptomic	gene
GOLGA2P5	transcriptomic	gene
GOLGA4	transcriptomic	gene
GOLGA8A	transcriptomic	gene
GOLGA8B	transcriptomic	gene
GOLPH3L	transcriptomic	gene
GOLT1A	transcriptomic	gene
GP2	transcriptomic	gene
GPC6AS1	transcriptomic	gene
GPCPD1	transcriptomic	gene
GPR135	transcriptomic	gene
GPR137	transcriptomic	gene
GPR143	transcriptomic	gene
GPR176	transcriptomic	gene
GPR18	transcriptomic	gene
GPR183	transcriptomic	gene
GPR199P	transcriptomic	gene
GPR3	transcriptomic	gene
GPR34	transcriptomic	gene
GPR65	transcriptomic	gene
GPR89A	transcriptomic	gene
GPRASP3	transcriptomic	gene
GPRC5C	transcriptomic	gene
GPRC5D	transcriptomic	gene
GPRIN1	transcriptomic	gene
GPRIN3	transcriptomic	gene
GPT	transcriptomic	gene
GPX4	transcriptomic	gene
GPX8	transcriptomic	gene
GRAMD1A	transcriptomic	gene
GRAMD1B	transcriptomic	gene
GRB14	transcriptomic	gene
GRB2	transcriptomic	gene
GRB7	transcriptomic	gene
GRN	transcriptomic	gene
GRTP1	transcriptomic	gene
GRWD1	transcriptomic	gene
GSAP	transcriptomic	gene
GSDMD	transcriptomic	gene
