gene_id	gene_symbol	tissue	score	source
ENSG00000283611.1	RP11-84A14.6	Liver	0.0	GTEx
ENSG00000265521.1	MIR5697	Liver	0.0	GTEx
ENSG00000162444.11	RBP7	Liver	4.109740535942152e-05	GTEx
ENSG00000130939.18	UBE4B	Liver	0.00012792854104636326	GTEx
ENSG00000224340.1	RP11-496H15.2	Liver	0.0	GTEx
ENSG00000233623.2	PGAM1P11	Liver	4.883028498511272e-07	GTEx
ENSG00000201746.1	RNU6-828P	Liver	0.0	GTEx
ENSG00000054523.17	KIF1B	Liver	8.649936197362824e-05	GTEx
ENSG00000264881.1	MIR1273D	Liver	0.0	GTEx
ENSG00000199562.1	RNU6-37P	Liver	0.0	GTEx
ENSG00000142657.20	PGD	Liver	0.0006941726924712888	GTEx
ENSG00000271989.1	RP4-736L20.3	Liver	0.0	GTEx
ENSG00000175279.21	CENPS	Liver	8.823479370480646e-05	GTEx
ENSG00000241563.3	CORT	Liver	1.8774989366227135e-05	GTEx
ENSG00000160049.11	DFFA	Liver	0.00010281582305401955	GTEx
ENSG00000142655.12	PEX14	Liver	0.00033636750319013194	GTEx
ENSG00000243267.3	RN7SL614P	Liver	1.8119948957890262e-06	GTEx
ENSG00000130940.14	CASZ1	Liver	2.277328796256912e-05	GTEx
ENSG00000272078.1	RP4-734G22.3	Liver	6.3402807316035726e-06	GTEx
ENSG00000225158.2	HSPE1P24	Liver	0.0	GTEx
ENSG00000175262.14	C1orf127	Liver	8.632922160782646e-07	GTEx
ENSG00000215785.2	CFL1P6	Liver	3.584857507443641e-06	GTEx
ENSG00000120948.16	TARDBP	Liver	0.0006176095278604849	GTEx
ENSG00000009724.16	MASP2	Liver	0.0020340280731603573	GTEx
ENSG00000271895.2	RP4-635E18.8	Liver	0.00014000000000000001	GTEx
ENSG00000116649.9	SRM	Liver	0.0005277754147171417	GTEx
ENSG00000171824.13	EXOSC10	Liver	0.0002486601446193109	GTEx
ENSG00000226849.1	RP4-635E18.7	Liver	2.783496384517227e-05	GTEx
ENSG00000230337.1	RP4-635E18.6	Liver	5.377286261165461e-06	GTEx
ENSG00000198793.12	MTOR	Liver	0.00012711186729051467	GTEx
ENSG00000225602.5	MTOR-AS1	Liver	0.0	GTEx
ENSG00000253086.1	RNU6-537P	Liver	0.0	GTEx
ENSG00000171819.4	ANGPTL7	Liver	1.0945980433857933e-06	GTEx
ENSG00000207451.1	RNU6-291P	Liver	0.0	GTEx
ENSG00000238173.1	RPL39P6	Liver	0.0	GTEx
ENSG00000120942.13	UBIAD1	Liver	7.9523606975755e-05	GTEx
ENSG00000238199.1	UBE2V2P3	Liver	0.0	GTEx
ENSG00000224338.2	MTCYBP45	Liver	0.0	GTEx
ENSG00000204624.7	DISP3	Liver	1.6628668651637602e-07	GTEx
ENSG00000235643.1	LINC01647	Liver	0.0	GTEx
ENSG00000116661.9	FBXO2	Liver	0.00026780093577201186	GTEx
ENSG00000132879.13	FBXO44	Liver	0.0002518928115695449	GTEx
