id	kind	layer	name
Q13541	Gene	transcriptomic	Q13541
Q13813	Gene	transcriptomic	Q13813
Q04637	Gene	transcriptomic	Q04637
P56945	Gene	transcriptomic	P56945
P78344	Gene	transcriptomic	P78344
O43432	Gene	transcriptomic	O43432
P99999	Gene	transcriptomic	P99999
Q9NR28	Gene	transcriptomic	Q9NR28
Q14980	Gene	transcriptomic	Q14980
P08670	Gene	transcriptomic	P08670
O95831	Gene	transcriptomic	O95831
Q13546	Gene	transcriptomic	Q13546
Q13535	Gene	transcriptomic	Q13535
Q14814	Gene	transcriptomic	Q14814
C0HMA1	Gene	transcriptomic	C0HMA1
P61586	Gene	transcriptomic	P61586
P56696	Gene	transcriptomic	P56696
P23560	Gene	transcriptomic	P23560
Q15319	Gene	transcriptomic	Q15319
Q9P202	Gene	transcriptomic	Q9P202
Q9BZE3	Gene	transcriptomic	Q9BZE3
O43306	Gene	transcriptomic	O43306
Q6ZQN5	Gene	transcriptomic	Q6ZQN5
P38398	Gene	transcriptomic	P38398
P12004	Gene	transcriptomic	P12004
Q99836	Gene	transcriptomic	Q99836
Q02962	Gene	transcriptomic	Q02962
Q99502	Gene	transcriptomic	Q99502
Q15475	Gene	transcriptomic	Q15475
Q9Y4K3	Gene	transcriptomic	Q9Y4K3
P05129	Gene	transcriptomic	P05129
Q13114	Gene	transcriptomic	Q13114
P46527	Gene	transcriptomic	P46527
P11234	Gene	transcriptomic	P11234
Q15910	Gene	transcriptomic	Q15910
P26927	Gene	transcriptomic	P26927
P24385	Gene	transcriptomic	P24385
P14635	Gene	transcriptomic	P14635
P78504	Gene	transcriptomic	P78504
P04628	Gene	transcriptomic	P04628
P20783	Gene	transcriptomic	P20783
P48431	Gene	transcriptomic	P48431
P12644	Gene	transcriptomic	P12644
Q15311	Gene	transcriptomic	Q15311
P15531	Gene	transcriptomic	P15531
P11233	Gene	transcriptomic	P11233
P60953	Gene	transcriptomic	P60953
P52951	Gene	transcriptomic	P52951
Q14469	Gene	transcriptomic	Q14469
P48436	Gene	transcriptomic	P48436
P62993	Gene	transcriptomic	P62993
P11487	Gene	transcriptomic	P11487
P58743	Gene	transcriptomic	P58743
P23771	Gene	transcriptomic	P23771
Q92985	Gene	transcriptomic	Q92985
A0AVK6	Gene	transcriptomic	A0AVK6
P04626	Gene	transcriptomic	P04626
P42574	Gene	transcriptomic	P42574
O43502	Gene	transcriptomic	O43502
Q99708	Gene	transcriptomic	Q99708
Q13393	Gene	transcriptomic	Q13393
P23219	Gene	transcriptomic	P23219
P56705	Gene	transcriptomic	P56705
Q13461	Gene	transcriptomic	Q13461
P19022	Gene	transcriptomic	P19022
Q8TF72	Gene	transcriptomic	Q8TF72
P09544	Gene	transcriptomic	P09544
P26367	Gene	transcriptomic	P26367
Q96HF1	Gene	transcriptomic	Q96HF1
Q8N474	Gene	transcriptomic	Q8N474
P02751	Gene	transcriptomic	P02751
Q13394	Gene	transcriptomic	Q13394
O00401	Gene	transcriptomic	O00401
Q13490	Gene	transcriptomic	Q13490
P42575	Gene	transcriptomic	P42575
Q16611	Gene	transcriptomic	Q16611
Q9NR09	Gene	transcriptomic	Q9NR09
P55211	Gene	transcriptomic	P55211
Q96IK5	Gene	transcriptomic	Q96IK5
P12830	Gene	transcriptomic	P12830
O15143	Gene	transcriptomic	O15143
Q15382	Gene	transcriptomic	Q15382
Q92574	Gene	transcriptomic	Q92574
P49815	Gene	transcriptomic	P49815
O60610	Gene	transcriptomic	O60610
Q14247	Gene	transcriptomic	Q14247
P29353	Gene	transcriptomic	P29353
O75116	Gene	transcriptomic	O75116
Q9H0Y0	Gene	transcriptomic	Q9H0Y0
P54619	Gene	transcriptomic	P54619
Q13547	Gene	transcriptomic	Q13547
Q99801	Gene	transcriptomic	Q99801
Q86UR1	Gene	transcriptomic	Q86UR1
Q13188	Gene	transcriptomic	Q13188
Q13323	Gene	transcriptomic	Q13323
Q92851	Gene	transcriptomic	Q92851
P19438	Gene	transcriptomic	P19438
Q14790	Gene	transcriptomic	Q14790
Q16548	Gene	transcriptomic	Q16548
O14727	Gene	transcriptomic	O14727
P21796	Gene	transcriptomic	P21796
P40429	Gene	transcriptomic	P40429
Q9Y5P8	Gene	transcriptomic	Q9Y5P8
Q07812	Gene	transcriptomic	Q07812
Q15139	Gene	transcriptomic	Q15139
Q16623	Gene	transcriptomic	Q16623
P62753	Gene	transcriptomic	P62753
